2025-10-15 17:50:21 | INFO | ai2node | Scanning Java codebase: C:\Users\AryRan\Rajarajan\AI-Learning\Assignment\Test_Prj\SakilaProject-master
2025-10-15 17:50:21 | INFO | ai2node | Discovered 41 Java files after filtering
2025-10-15 17:50:21 | INFO | ai2node | Saved file inventory: C:\Users\AryRan\Rajarajan\AI-Learning\Assignment\Java2NodeAI\Output\Knowledge\files.json
2025-10-15 17:50:21 | INFO | ai2node | Using LLM provider: <ai2node.llm.provider.LocalRunLLMProvider object at 0x000002D706C11010>
2025-10-15 17:50:25 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=73 completion_tokens=38
2025-10-15 17:50:31 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=121 completion_tokens=81
2025-10-15 17:50:36 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=99 completion_tokens=68
2025-10-15 17:50:42 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=118 completion_tokens=65
2025-10-15 17:50:47 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=156 completion_tokens=57
2025-10-15 17:50:49 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=77 completion_tokens=31
2025-10-15 17:50:55 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=83 completion_tokens=73
2025-10-15 17:50:59 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=128 completion_tokens=51
2025-10-15 17:51:04 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=111 completion_tokens=44
2025-10-15 17:51:09 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=159 completion_tokens=60
2025-10-15 17:51:14 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=202 completion_tokens=45
2025-10-15 17:51:19 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=120 completion_tokens=60
2025-10-15 17:51:23 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=106 completion_tokens=51
2025-10-15 17:51:28 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=117 completion_tokens=57
2025-10-15 17:51:33 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=103 completion_tokens=54
2025-10-15 17:51:39 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=110 completion_tokens=63
2025-10-15 17:51:43 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=119 completion_tokens=43
2025-10-15 17:51:48 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=108 completion_tokens=58
2025-10-15 17:51:54 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=182 completion_tokens=73
2025-10-15 17:52:00 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=181 completion_tokens=57
2025-10-15 17:52:04 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=110 completion_tokens=37
2025-10-15 17:52:06 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=73 completion_tokens=30
2025-10-15 17:52:11 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=138 completion_tokens=51
2025-10-15 17:52:15 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=119 completion_tokens=43
2025-10-15 17:52:19 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=94 completion_tokens=43
2025-10-15 17:52:22 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=87 completion_tokens=37
2025-10-15 17:52:24 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=73 completion_tokens=30
2025-10-15 17:52:27 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=79 completion_tokens=28
2025-10-15 17:52:31 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=75 completion_tokens=46
2025-10-15 17:52:34 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=79 completion_tokens=37
2025-10-15 17:52:37 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=78 completion_tokens=35
2025-10-15 17:52:41 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=108 completion_tokens=41
2025-10-15 17:52:44 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=125 completion_tokens=29
2025-10-15 17:52:46 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=80 completion_tokens=25
2025-10-15 17:52:51 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=131 completion_tokens=50
2025-10-15 17:52:55 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=143 completion_tokens=46
2025-10-15 17:52:58 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=98 completion_tokens=41
2025-10-15 17:53:01 | INFO | ai2node | LLM(local-run) call: endpoint=http://127.0.0.1:1234/v1 model=qwen2.5-coder-7b-instruct prompt_tokens=92 completion_tokens=35
